기상관측일시,관측_습도,관측_기온,관측_대기압,예측_일사량,예측_습도,예측_절대습도,예측_기온,예측_대기압,월,일,시
2024-01-01 00:00:00,85.23,3.82,764.46793,0.0,57.06100082397461,0.004000000189989805,0.8030014038085938,756.4476928710938,1,1,0
2024-01-01 01:00:00,86.75,3.76,764.68855,0.0,58.347999572753906,0.004000000189989805,1.1409997940063477,756.9260864257812,1,1,1
2024-01-01 02:00:00,86.43,3.04,765.05595,0.0,58.89699935913086,0.004000000189989805,1.4169998168945312,757.2371826171875,1,1,2
2024-01-01 03:00:00,90.6,1.99,765.42151,0.0,58.4379997253418,0.004000000189989805,1.498000144958496,757.4906616210938,1,1,3
2024-01-01 04:00:00,92.59,1.25,765.61559,0.0,58.2859992980957,0.004000000189989805,1.1719999313354492,757.593994140625,1,1,4
2024-01-01 05:00:00,94.59,0.9,765.71106,0.0,58.145999908447266,0.004000000189989805,0.7980003356933594,757.7906494140625,1,1,5
2024-01-01 06:00:00,96.9,0.96,766.05343,0.0,57.97700119018555,0.004000000189989805,0.1509990692138672,757.9789428710938,1,1,6
2024-01-01 07:00:00,97.76,1.02,766.31235,0.0,58.165000915527344,0.004000000189989805,0.5839986801147461,758.3223876953125,1,1,7
2024-01-01 08:00:00,97.49,0.94,766.58237,13.606002807617188,58.22100067138672,0.004000000189989805,1.1140003204345703,758.7056884765625,1,1,8
2024-01-01 09:00:00,97.44,0.95,766.87975,90.27400207519531,56.25199890136719,0.004000000189989805,1.9569997787475586,759.0664672851562,1,1,9
2024-01-01 10:00:00,96.37,1.17,767.10126,196.5590057373047,53.61399841308594,0.004000000189989805,4.01200008392334,759.1891479492188,1,1,10
2024-01-01 11:00:00,92.29,2.27,766.80554,323.78399658203125,49.0629997253418,0.004000000189989805,6.421999931335449,759.032470703125,1,1,11
2024-01-01 12:00:00,87.19,3.37,766.07193,406.36199951171875,44.83599853515625,0.004000000189989805,8.701000213623047,758.6715087890625,1,1,12
2024-01-01 13:00:00,79.48,4.77,765.18644,400.2099914550781,40.803001403808594,0.004000000189989805,8.543000221252441,758.1618041992188,1,1,13
2024-01-01 14:00:00,71.55,6.18,764.78985,341.9429931640625,39.68600082397461,0.004000000189989805,8.206000328063965,757.8341064453125,1,1,14
2024-01-01 15:00:00,59.93,7.38,764.47833,232.58200073242188,37.83599853515625,0.004000000189989805,7.361000061035156,757.6227416992188,1,1,15
2024-01-01 16:00:00,58.71,7.54,764.17004,118.30999755859375,39.138999938964844,0.004000000189989805,6.191000461578369,757.5422973632812,1,1,16
2024-01-01 17:00:00,60.8,7.25,764.06865,28.274993896484375,47.11199951171875,0.004000000189989805,4.525000095367432,757.4122314453125,1,1,17
2024-01-01 18:00:00,66.4,6.68,763.88045,0.0,47.85100173950195,0.004000000189989805,3.187999725341797,757.3097534179688,1,1,18
2024-01-01 19:00:00,70.28,6.02,763.82307,0.0,49.69900131225586,0.004000000189989805,3.0380001068115234,757.1489868164062,1,1,19
2024-01-01 20:00:00,72.51,5.49,763.79826,0.0,49.09400177001953,0.004000000189989805,2.8489999771118164,757.0530395507812,1,1,20
2024-01-01 21:00:00,74.92,5.29,763.86446,0.0,48.926998138427734,0.004000000189989805,2.7189998626708984,757.0230712890625,1,1,21
2024-01-01 22:00:00,76.57,5.28,763.98609,0.0,50.93600082397461,0.004000000189989805,2.7919998168945312,756.838623046875,1,1,22
2024-01-01 23:00:00,78.82,5.17,763.78314,0.0,53.17100143432617,0.004000000189989805,2.8570003509521484,756.672119140625,1,1,23
